X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-76.1393655005957,43.0468559997476,1741,2018/06/18,1200,1400,800 W  GENESEE ST,MV THEFT,
-76.1536417525795,43.0486439600898,1742,2018/05/11,1151,1151,300 S  CLINTON ST,LARCENY,
-76.1430450980222,43.020628999578,1743,2018/05/11,1704,1704,2800 S  SALINA ST,LARCENY,
-76.1295535872982,43.0019753372298,1744,2018/05/11,1130,1130,600 E  SENECA TPKE,LARCENY,
-76.1337855003547,43.0399079999304,1745,2018/06/19,1555,1555,200 WAVERLY AV,LARCENY,
-76.1666714998642,43.0413660001396,1746,2018/06/19,2024,2024,400 SHONNARD ST,AGGRAVATED ASSAULT,
-76.1707214998294,43.0304040002022,1747,2018/06/19,1340,1340,400 STOLP AV,BURGLARY,
-76.1537429994783,43.047863999968,1748,2018/06/19,1047,1047,400 S  CLINTON ST,LARCENY,
-76.1623672503451,43.0456589999261,1749,2018/05/12,1730,1730,0 SCHOENECK CT,AGGRAVATED ASSAULT,
-76.1545365653385,43.0732398218037,1750,2018/05/11,1800,0600,800 COURT ST,MV THEFT,
-76.1426384020233,43.0088031933243,1751,2018/05/11,1308,1308,4100 S  SALINA ST,LARCENY,
-76.1476032616729,43.0442253422868,1752,2018/05/10,1400,1900,800 S  STATE ST,LARCENY,
-76.121091000171,43.0390530003101,1753,2018/06/20,1436,1436,100 AVONDALE PL,BURGLARY,
-76.165540362758,43.0403395531483,1754,2018/05/12,1507,1507,100 SABINE ST,AGGRAVATED ASSAULT,
-76.1290836659324,43.0452468004914,1755,2018/05/12,1200,1200,200 OSTROM AV,LARCENY,
-76.1257402619519,43.0364268673305,1756,2018/05/12,0920,0920,800 SUMNER AV,LARCENY,
-76.1644111984237,43.0509475482767,1757,2018/05/12,1525,1536,300 WILKINSON ST,AGGRAVATED ASSAULT,
-76.1336799246312,43.0110117860308,1758,2018/05/13,2354,2354,100 AINSLEY DR,BURGLARY,
-76.1340509999947,43.046343000127,1759,2018/06/20,1730,1730,1100 E  GENESEE ST,LARCENY,
-76.1965155004641,43.05918599978,1760,2018/06/20,1301,1301,1200 WILLIS AV,LARCENY,
-76.1601459620229,43.0333779864461,1761,2018/05/12,1444,1444,200 HUDSON ST,LARCENY,
-76.1141791891147,43.0391924865131,1762,2018/05/12,2340,0940,800 WESTMORELAND AV,LARCENY,
-76.128238905987,43.0379377781136,1763,2018/05/13,0220,1220,100 CLARENDON ST,LARCENY,
-76.1522179611207,43.0533853352175,1764,2018/05/13,2300,0200,100 HERLAD PL,LARCENY,
-76.1390910001796,43.0581420003368,1765,2018/06/20,1430,1430,200 HIGHLAND AV,LARCENY,
-76.1296365000277,43.046766000217,1766,2018/06/20,1054,1054,1400 E  GENESEE ST,LARCENY,
-76.1463675005821,43.0204770002883,1767,2018/06/20,1820,1820,200 W  BRIGHTON AV,AGGRAVATED ASSAULT,
-76.1801971318252,43.0525932888945,1768,2018/05/13,0421,0421,100 STATE FAIR BLVD,ROBBERY,
-76.1438733393503,42.9870326537441,1769,2018/05/13,1919,1919,100 OAKLEY DR   E,BURGLARY,
-76.1313914994164,43.0438140002323,1770,2018/06/20,2030,2130,300 COMSTOCK AV,LARCENY,
-76.104778500383,43.0419599999273,1771,2018/06/20,1716,1719,2900 E  GENESEE ST,ROBBERY,
-76.1286323948337,43.0237735254806,1772,2018/05/13,2315,2315,1300 E  COLVIN ST,ROBBERY,
-76.113639690664,43.0481558693544,1773,2018/05/13,1430,1430,2100 E  FAYETTE ST   N,BURGLARY,
-76.1438609999891,43.0614000002785,1774,2018/06/20,1547,1547,300 S  ALVORD ST,LARCENY,
-76.1162040005908,43.0722899995815,1775,2018/06/20,0336,0336,100 LINWILL TER,MV THEFT,
-76.1536427625881,43.0801199937189,1776,2018/05/12,2130,2130,300 SEVENTH NORTH ST,AGGRAVATED ASSAULT,
,,1777,2018/05/14,1545,0700,0 PRESIDENTIAL PLZ,MV THEFT,
-76.1271443383245,43.0379929144076,1778,2018/05/13,0300,0305,700 LIVINGSTON AV,LARCENY,
-76.1475645004692,43.0590329999115,1779,2018/06/20,0032,0551,500 BUTTERNUT ST,LARCENY,
-76.152725188573,43.023817587434,1780,2018/05/13,2252,2252,600 W  COLVIN ST,ROBBERY,
-76.1129496317847,43.050468746394,1781,2018/05/14,1930,1938,100 CROLY ST,LARCENY,
-76.156313803182,43.0624948178294,1782,2018/05/12,2000,0900,1200 N  STATE ST,LARCENY,
-76.1553495001998,43.0093980003543,1783,2018/06/21,1152,1152,300 SHIRLEY DR,MV THEFT,
-76.147838999978,43.0524989996792,1784,2018/06/21,1505,1505,400 JAMES ST,AGGRAVATED ASSAULT,
-76.1666714998642,43.0413660001396,1785,2018/06/21,2300,0645,400 SHONNARD ST,BURGLARY,
-76.1513990182725,43.0254104516703,1786,2018/05/14,0730,0730,1400 MIDLAND AV,LARCENY,
-76.1718779997355,43.0277490000461,1787,2018/06/21,1837,1837,500 ROBERTS AV,LARCENY,
-76.1621894999709,43.0258859998618,1788,2018/06/21,1530,1630,800 ONONDAGA AV,LARCENY,
-76.1346810004422,43.0424279998601,1789,2018/06/21,1441,1441,700 UNIVERSITY AV,LARCENY,
-76.1384880003054,42.9997319996049,1790,2018/06/22,1100,1800,100 ARSENAL DR,BURGLARY,
,,1791,2018/05/14,1640,1640,0 DESTINY USA DR,BURGLARY,
-76.1030505000753,43.0618050003867,1792,2018/06/22,2345,0530,1000 SUNNYCREST RD,LARCENY,
-76.114377000267,43.0450110000224,1793,2018/06/22,0918,0918,2400 E  GENESEE ST,MV THEFT,
-76.1040641608909,43.0520601109462,1794,2018/05/14,1505,1505,200 SEELEY RD,BURGLARY,
-76.1535100407567,43.0305648949137,1795,2018/05/14,2250,2250,300 FURMAN ST,AGGRAVATED ASSAULT,
-76.1512589995389,43.0199640000642,1796,2018/06/22,0207,0207,400 E  BRIGHTON AV,ROBBERY,
-76.1243219996406,43.0619220000151,1797,2018/06/22,0945,0945,400 SHUART AVE,LARCENY,
-76.1202044997725,43.0699049999331,1798,2018/06/22,0858,0858,300 MILDRED AV,LARCENY,
-76.1483800646115,43.0318788618526,1799,2018/05/15,1215,0815,100 FURMAN ST,LARCENY,
-76.1707214998294,43.0304040002022,1800,2018/06/22,2305,2305,400 STOLP AV,MV THEFT,
-76.1289714797133,43.044086000382,1801,2018/05/15,0130,1200,300 OSTROM AV,LARCENY,
-76.1641515005702,43.0420859998013,1802,2018/06/22,0730,1937,600 OSWEGO ST,MV THEFT,
-76.142232039703,42.985046742414,1803,2018/05/14,1300,1300,100 EDNA RD,BURGLARY,
-76.1474532746894,43.038182194582,1804,2018/05/14,1729,1729,1200 S  STATE ST,AGGRAVATED ASSAULT,
-76.1725980004972,43.0402770001326,1805,2018/06/22,1900,1900,700 S  GEDDES ST,ROBBERY,
-76.1610002702273,43.0727093933778,1806,2018/05/15,0341,0341,600 LEMOYNE AV,LARCENY,
-76.1426384020233,43.0088031933243,1807,2018/05/14,1318,1318,4100 S  SALINA ST,LARCENY,
-76.1231250004564,43.0341300003195,1808,2018/06/22,1814,1814,900 LANCASTER AV,BURGLARY,
-76.1663520001201,43.0349669999219,1809,2018/06/22,0040,0040,900 ONONDAGA AV,AGGRAVATED ASSAULT,
-76.1472504893063,43.0239381368197,1810,2018/05/16,1758,1758,100 FAGE AV,LARCENY,
-76.142096301058,43.0426578422063,1811,2018/05/15,2124,2124,700 E  ADAMS ST,ROBBERY,
-76.1449010390522,43.0124011997489,1812,2018/05/16,0020,0020,200 HALL AV,LARCENY,
-76.1590388872146,43.007749231636,1813,2018/05/16,0615,0640,600 BARNES AV,LARCENY,
-76.1569232890321,43.0594868545274,1814,2018/05/16,1900,0700,200 W  DIVISION ST,LARCENY,
,,1815,2018/05/16,1611,1611,0 DESTINY USA DR,LARCENY,
-76.1483285171183,43.0317711453378,1816,2018/05/15,1345,1410,1500 S  SALINA ST,LARCENY,
-76.1528520002508,43.0624260002454,1817,2018/06/23,1925,1925,1100 N  TOWNSEND ST,AGGRAVATED ASSAULT,
-76.1795572291289,43.0480144052276,1818,2018/05/17,0200,1140,100 TENNYSON AV,LARCENY,
-76.1707440004023,43.0314480004108,1819,2018/06/23,0800,1604,200 HUBBELL AV,MV THEFT,
-76.1171913584445,43.0481905650303,1820,2018/05/17,0313,0313,200 ALLEN ST,LARCENY,
-76.1215687145231,43.0715733151624,1821,2018/05/17,1100,1755,400 GRANT BLVD,LARCENY,
-76.1304496966775,43.0440982725318,1822,2018/05/17,0100,0800,1200 HARRISON ST,LARCENY,
-76.1638970200534,43.0404657020089,1823,2018/05/17,2020,2020,200 MERRIMAN AV,AGGRAVATED ASSAULT,
-76.1380289996751,43.009820999691,1824,2018/06/23,2230,1450,300 FILLMORE AV,BURGLARY,
,,1825,2018/05/18,1902,1902,UNKNOWN,MV THEFT,
-76.1497020001766,43.0586009997243,1826,2018/06/23,1613,1613,400 BUTTERNUT ST,LARCENY,
-76.169474999898,43.0304039996401,1827,2018/06/23,1530,1600,300 STOLP AV,LARCENY,
-76.1712525002557,43.0539839999006,1828,2018/06/22,0800,0800,1000 W  GENESEE ST,LARCENY,
-76.1626350000903,43.0334369996784,1829,2018/06/23,2345,2345,600 BELLEVUE AV,MV THEFT,
-76.1442119994777,43.0542630002427,1830,2018/06/22,1000,1010,600 JAMES ST,LARCENY,
-76.1935349466926,43.0268065024293,1831,2018/05/17,2000,0800,100 JUNEWAY DR,LARCENY,
-76.0858470002527,43.0432560004477,1832,2018/06/24,0722,0722,100 GIFFORD ST,AGGRAVATED ASSAULT,
-76.1575343302201,43.0307842143944,1833,2018/05/18,1928,1928,100 DEARBORN PL,AGGRAVATED ASSAULT,
-76.1557454994672,43.0480980002255,1834,2018/06/24,1855,1855,200 WALTON ST,LARCENY,
-76.1337855003547,43.0399079999304,1835,2018/06/24,1445,1750,200 WAVERLY AV,LARCENY,
-76.1337855003547,43.0399079999304,1836,2018/06/24,1030,1750,200 WAVERLY AV,LARCENY,
-76.1360170499127,43.0218065858155,1837,2018/05/18,1200,1600,100 RONEY LN,BURGLARY,
-76.1164289996421,43.0451819996352,1838,2018/06/24,0700,2000,2200 E  GENESEE ST,LARCENY,
-76.1430587232612,43.0072366525458,1839,2018/05/18,0059,0059,100 W  FLORENCE AV,AGGRAVATED ASSAULT,
-76.1410710002967,43.0471799997188,1840,2018/06/24,1000,1443,700 E  GENESEE ST,LARCENY,
-76.1629454998254,43.0373879996564,1841,2018/06/24,1500,2000,700 W  ONONDAGA ST,LARCENY,
-76.1522624994055,43.0438229999158,1842,2018/06/24,1000,1500,500 S  SALINA ST,LARCENY,
-76.1549355002425,43.0632630004234,1843,2018/06/24,2048,2048,900 S  SALINA ST,LARCENY,
-76.105503000055,43.0441200000828,1844,2018/06/25,1900,2130,100 BLOSSOM RD,BURGLARY,
