ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_SingleLine,USER_DATEEND,USER_TIMESTART,USER_TIMEEND,USER_ADDRESS,USER_CODE_DEFINED,USER_Arrest,USER_LarcenyCode
4814,SyrStreets,M,100,A,400 POND ST,400 POND ST,400 POND ST,StreetAddress,,,400 POND ST,,,20,,400,400,402,400-402,R,,,POND,ST,,,,,,,,,400 POND ST,,,,,,,,,,,,,,,ENG,0,935471.561844226,1117118.65006763,935471.561844226,1117118.65006763,935206.207798079,935736.907170007,1116752.81923092,1117484.48415942,,400 POND ST,2022/03/15 00:00:00+00,0302,0302,400 POND ST,LARCENY,,All Other
4815,SyrPoints,M,89.09,A,"300 VALLEY, 13207","300 VALLEY, 13207",300 VALLEY,PointAddress,,,"300 VALLEY, 13207",,,20,OUR LADY OF LOURDES CHURCH,300,,,,,,,VALLEY,,,,,,,,,,300 VALLEY,,,,,,,,,,,,13207,,,ENG,0,933251.509265588,1099310.76345931,933251.509265588,1099310.76345931,932985.904007179,933517.105812335,1098944.96344362,1099676.56672973,DR,300 VALLEY DR,2022/02/16 00:00:00+00,1740,1830,300 VALLEY DR,LARCENY,,From Motor Vehicle
4816,SyrStreets,M,100,A,700 ERIE BLVD E,700 ERIE BLVD E,700 ERIE BLVD E,StreetAddress,,,700 ERIE BLVD E,,,20,,700,700,798,700-798,R,,,ERIE,BLVD,E,,,,,,,,700 ERIE BLVD E,,,,,,,,,,,,,,,ENG,0,938160.876035448,1111871.39204475,938160.876035448,1111871.39204475,937895.502014132,938426.241337985,1111505.53041873,1112237.25692593,,700 ERIE BLVD E,2022/03/15 00:00:00+00,0145,0200,700 ERIE BLVD E,MV THEFT,,
4817,SyrStreets,M,100,A,1000 S TOWNSEND ST,1000 S TOWNSEND ST,1000 S TOWNSEND ST,StreetAddress,,,1000 S TOWNSEND ST,,,20,,1000,1000,1098,1000-1098,R,S,,TOWNSEND,ST,,,,,,,,,1000 S TOWNSEND ST,,,,,,,,,,,,,,,ENG,0,937164.63430422,1108543.82293554,937164.63430422,1108543.82293554,936899.203917564,937430.055973894,1108177.97400947,1108909.67511667,,1000 S  TOWNSEND ST,2022/03/15 00:00:00+00,1700,1700,1000 S  TOWNSEND ST,BURGLARY,Yes,
4818,SyrStreets,M,100,A,700 JAMES ST,700 JAMES ST,700 JAMES ST,StreetAddress,,,700 JAMES ST,,,20,,700,700,798,700-798,R,,,JAMES,ST,,,,,,,,,700 JAMES ST,,,,,,,,,,,,,,,ENG,0,937891.770059783,1113423.88147397,937891.770059783,1113423.88147397,937626.410469862,938157.120930298,1113058.0226751,1113789.743528,,700 JAMES ST,2022/03/15 00:00:00+00,0400,0400,700 JAMES ST,MV THEFT,,
4819,SyrPoints,M,91.43,A,"700 CATHERINE, 13203","700 CATHERINE, 13203",700 CATHERINE,PointAddress,,,"700 CATHERINE, 13203",,,20,,700,,,,,,,CATHERINE,,,,,,,,,,700 CATHERINE,,,,,,,,,,,,13203,,,ENG,0,937092.923829535,1114812.98117266,937092.923829535,1114812.98117266,936827.568123508,937358.270815758,1114447.13156056,1115178.8340399,ST,700 CATHERINE ST,2022/02/16 00:00:00+00,1740,1740,700 CATHERINE ST,BURGLARY,,
4820,SyrStreets,M,100,A,900 JAMES ST,900 JAMES ST,900 JAMES ST,StreetAddress,,,900 JAMES ST,,,20,,900,900,918,900-918,R,,,JAMES,ST,,,,,,,,,900 JAMES ST,,,,,,,,,,,,,,,ENG,0,939089.007044272,1114233.82145109,939089.007044272,1114233.82145109,938823.676622618,939354.328745802,1113867.94817197,1114599.69798545,,900 JAMES ST,2022/03/15 00:00:00+00,2045,0426,900 JAMES ST,MV THEFT,,
4821,SyrPoints,M,92,A,"1300 BUTTERNUT, 13208","1300 BUTTERNUT, 13208",1300 BUTTERNUT,PointAddress,,,"1300 BUTTERNUT, 13208",,,20,,1300,,,,,,,BUTTERNUT,,,,,,,,,,1300 BUTTERNUT,,,,,,,,,,,,13208,,,ENG,0,937842.697253318,1118382.49914303,937842.697253318,1118382.49914303,937577.396874621,938107.988910384,1118016.63970834,1118748.36183295,ST,1300 BUTTERNUT ST,2022/02/15 00:00:00+00,1800,1800,1300 BUTTERNUT ST,AGGRAVATED ASSAULT,,
4822,SyrStreets,M,100,A,100 FOREST AVE,100 FOREST AVE,100 FOREST AVE,StreetAddress,,,100 FOREST AVE,,,20,,100,100,184,100-184,R,,,FOREST,AVE,,,,,,,,,100 FOREST AVE,,,,,,,,,,,,,,,ENG,0,937019.382937256,1101159.17051574,937019.382937256,1101159.17051574,936753.860899826,937284.89626109,1100793.32513689,1101525.01914955,,100 FOREST AV,2022/03/14 00:00:00+00,0844,0844,100 FOREST AV,AGGRAVATED ASSAULT,Yes,
4823,SyrStreets,M,100,A,1500 COURT ST,1500 COURT ST,1500 COURT ST,StreetAddress,,,1500 COURT ST,,,20,,1500,1500,1510,1500-1510,R,,,COURT,ST,,,,,,,,,1500 COURT ST,,,,,,,,,,,,,,,ENG,0,936922.983069742,1121896.13095653,936922.983069742,1121896.13095653,936657.710329249,937188.247087274,1121530.2816311,1122261.98353718,,1500 COURT ST,2022/03/14 00:00:00+00,2300,1000,1500 COURT ST,LARCENY,Yes,From Motor Vehicle
4824,SyrPoints,M,95.89,A,"300 SHERWOOD, 13203","300 SHERWOOD, 13203",300 SHERWOOD,PointAddress,,,"300 SHERWOOD, 13203",,,20,,300,,,,,,,SHERWOOD,,,,,,,,,,300 SHERWOOD,,,,,,,,,,,,13203,,,ENG,0,942727.519772201,1114131.24641354,942727.519772201,1114131.24641354,942462.246964409,942992.783858854,1113765.32975855,1114497.16632397,,300 SHERWOOD AV,2022/02/15 00:00:00+00,1831,1831,300 SHERWOOD AV,LARCENY,,All Other
4825,SyrStreets,M,100,A,2800 ERIE BLVD E,2800 ERIE BLVD E,2800 ERIE BLVD E,StreetAddress,,,2800 ERIE BLVD E,,,20,,2800,2800,2880,2800-2880,R,,,ERIE,BLVD,E,,,,,,,,2800 ERIE BLVD E,,,,,,,,,,,,,,,ENG,0,950952.489333753,1113363.32336705,950952.489333753,1113363.32336705,950687.340232335,951217.629711967,1112997.3087923,1113729.34119769,,2800 ERIE BLVD E,2022/03/14 00:00:00+00,0152,0152,2800 ERIE BLVD E,BURGLARY,Yes,
4826,SyrStreets,M,100,A,100 DUANE ST,100 DUANE ST,100 DUANE ST,StreetAddress,,,100 DUANE ST,,,20,,100,100,132,100-132,R,,,DUANE,ST,,,,,,,,,100 DUANE ST,,,,,,,,,,,,,,,ENG,0,928438.467027939,1105238.34199337,928438.467027939,1105238.34199337,928172.855590016,928704.069752928,1104872.59791475,1105604.08932653,,100 DUANE ST,2022/03/13 00:00:00+00,2113,2113,100 DUANE ST,BURGLARY,Yes,
4827,SyrStreets,M,100,A,100 BALLANTYNE RD,100 BALLANTYNE RD,100 BALLANTYNE RD,StreetAddress,,,100 BALLANTYNE RD,,,20,,100,100,138,100-138,R,,,BALLANTYNE,RD,,,,,,,,,100 BALLANTYNE RD,,,,,,,,,,,,,,,ENG,0,938181.39061246,1097310.15990705,938181.39061246,1097310.15990705,937915.840810683,938446.931702046,1096944.30162561,1097676.02144347,,100 BALLANTYNE RD,2022/03/13 00:00:00+00,0051,0051,100 BALLANTYNE RD,MV THEFT,,Motor Vehicle
4828,SyrPoints,M,91.43,A,"500 BUTTERNUT, 13208","500 BUTTERNUT, 13208",500 BUTTERNUT,PointAddress,,,"500 BUTTERNUT, 13208",,,20,BOOST MOBILE,500,,,,,,,BUTTERNUT,,,,,,,,,,500 BUTTERNUT,,,,,,,,,,,,13208,,,ENG,0,936667.987144077,1114889.49568739,936667.987144077,1114889.49568739,936402.625488643,936933.340079794,1114523.65112526,1115255.34350463,ST,500 BUTTERNUT ST,2022/02/15 00:00:00+00,1155,1155,500 BUTTERNUT ST,LARCENY,Yes,Shoplifting
4829,SyrPoints,M,91.43,A,"500 BUTTERNUT, 13208","500 BUTTERNUT, 13208",500 BUTTERNUT,PointAddress,,,"500 BUTTERNUT, 13208",,,20,BOOST MOBILE,500,,,,,,,BUTTERNUT,,,,,,,,,,500 BUTTERNUT,,,,,,,,,,,,13208,,,ENG,0,936667.987144077,1114889.49568739,936667.987144077,1114889.49568739,936402.625488643,936933.340079794,1114523.65112526,1115255.34350463,ST,500 BUTTERNUT ST,2022/02/15 00:00:00+00,1155,1155,500 BUTTERNUT ST,LARCENY,Yes,Shoplifting
