X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477296.20615781,5316441.80658126,2024/01/15 05:00:00+00,1107,1107,0 MIDLAND AV & W KENNEDY ST        ,Yes,,AGGRAVATED ASSAULT,43.0293600000001,-76.1528475,39
-8476738.66248818,5319966.14701444,2024/02/04 05:00:00+00,2237,2237,400 JAMES ST     ,,,AGGRAVATED ASSAULT,43.0524990000001,-76.147839,40
,,2024/02/09 05:00:00+00,201,201,0 PRESIDENTIAL CT     ,,Motor Vehicle,BURGLARY,,,41
,,2024/02/23 05:00:00+00,1357,1357,0 PRESIDENTIAL PLZ  ,,All Other,LARCENY,,,42
-8477351.81024346,5312347.50925592,2024/01/20 05:00:00+00,955,955,400 SENECA DR     ,,,AGGRAVATED ASSAULT,43.0024680000001,-76.1533469999999,43
-8478835.08679854,5318270.29494514,2024/02/09 05:00:00+00,1410,1410,400 SHONNARD ST     ,,All Other,LARCENY,43.041366,-76.1666714999999,44
,,2024/01/11 05:00:00+00,230,230,0 PRESIDENTIAL PLZ    ,,,BURGLARY,,,45
-8478835.08679854,5318270.29494514,2024/01/14 05:00:00+00,2058,2058,400 SHONNARD ST   ,,Motor Vehicle,MV THEFT,43.041366,-76.1666714999999,46
,,2024/01/04 05:00:00+00,2012,2012,0 PRESIDENTIAL PLZ    ,,All Other,LARCENY,,,47
-8480943.53361391,5318947.50210787,2024/01/08 05:00:00+00,945,945,400 TENNYSON AV ,,All Other,LARCENY,43.0458120000001,-76.1856119999999,48
-8479283.92698541,5319609.67721511,2024/01/23 05:00:00+00,730,730,0 RICHMOND AV & N GEDDES ST        ,Yes,,AGGRAVATED ASSAULT,43.0501590000001,-76.1707034999999,49
-8478501.96333366,5320801.16221039,2024/01/17 05:00:00+00,1724,1734,400 SPENCER ST     ,Yes,From Motor Vehicle,LARCENY,43.05798,-76.1636790009999,50
-8477816.68043702,5314646.56259254,2024/01/30 05:00:00+00,2200,800,100 BERTRAM PL   ,,Motor Vehicle,MV THEFT,43.01757,-76.157523,51
-8473961.96476957,5320173.17994887,2024/02/13 05:00:00+00,2100,1300,1200 BURNET AV   ,,Motor Vehicle,MV THEFT,43.053858,-76.1228955,52
-8473379.3742145,5322762.16457516,2024/01/19 05:00:00+00,730,732,400 VILLAGE DR     ,,,ROBBERY,43.0708500000001,-76.1176619999999,53
-8473379.3742145,5322762.16457516,2024/01/15 05:00:00+00,905,905,400 VILLAGE DR     ,,All Other,LARCENY,43.0708500000001,-76.1176619999999,54
-8477729.51727572,5320034.70045819,2024/02/15 05:00:00+00,2330,100,400 W GENESEE ST   ,,From Motor Vehicle,LARCENY,43.0529490000001,-76.15674,55
-8477835.71606994,5318178.45078948,2024/01/01 05:00:00+00,30,30,400 W ONONDAGA ST     ,Yes,,AGGRAVATED ASSAULT,43.040763,-76.1576939999999,56
-8477009.16873948,5314101.20559359,2024/02/21 05:00:00+00,2,2,400 W OSTRANDER AV ,,Motor Vehicle,MV THEFT,43.013988,-76.1502689989999,57
