X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,latitude,longitude,CRIME_WEIGHT
-8477231.08414438,5318644.53494196,2023/05/03 04:00:00+00,1400,1400,500 S  SALINA ST     ,ALL OTHER OFFENSES,43.043874863607265,-76.15203563897467,254
-8473390.39484409,5322934.97193411,2023/05/04 04:00:00+00,2330,808,200 VILLAGE DR     ,CRIMINAL MISCHIEF,43.07206032619793,-76.11791165102832,100
-8473390.39484409,5322934.97193411,2023/05/04 04:00:00+00,2000,816,200 VILLAGE DR     ,CRIMINAL MISCHIEF,43.07206032619793,-76.11791165102832,100
-8473390.39484409,5322934.97193411,2023/05/04 04:00:00+00,1700,820,200 VILLAGE DR     ,CRIMINAL MISCHIEF,43.07206032619793,-76.11791165102832,100
-8473390.39484409,5322934.97193411,2023/05/04 04:00:00+00,1830,832,200 VILLAGE DR     ,CRIMINAL MISCHIEF,43.07206032619793,-76.11791165102832,100
-8473390.39484409,5322934.97193411,2023/05/04 04:00:00+00,1400,912,200 VILLAGE DR     ,CRIMINAL MISCHIEF,43.07206032619793,-76.11791165102832,100
-8469837.74461491,5318558.17053548,2023/05/04 04:00:00+00,1242,1242,100 GIFFORD ST     ,ALL OTHER OFFENSES,43.043327723958384,-76.085657892162,100
-8476769.7206261,5319449.27024237,2023/05/05 04:00:00+00,800,900,300 E  WASHINGTON ST     ,SIMPLE ASSAULT,43.0490299,-76.14863919999999,237
-8477092.82544813,5318776.13938196,2023/05/05 04:00:00+00,2000,2000,100 ONONDAGA AVE    ,SIMPLE ASSAULT,43.04468428395821,-76.15084581700063,150
-8477231.08414438,5318644.53494196,2023/05/07 04:00:00+00,1344,1344,500 S  SALINA ST     ,SIMPLE ASSAULT,43.043874863607265,-76.15203563897467,254
-8476769.7206261,5319449.27024237,2023/05/08 04:00:00+00,814,814,300 E  WASHINGTON ST     ,OFFN AGAINST FAMILY,43.0490299,-76.14863919999999,237
-8476769.7206261,5319449.27024237,2023/05/08 04:00:00+00,1500,1000,300 E  WASHINGTON ST     ,OFFN AGAINST FAMILY,43.0490299,-76.14863919999999,237
-8477231.08414438,5318644.53494196,2023/05/08 04:00:00+00,2010,2010,500 S  SALINA ST     ,ALL OTHER OFFENSES,43.043874863607265,-76.15203563897467,254
-8471214.32143807,5318238.76625264,2023/05/10 04:00:00+00,1130,1130,3100 E  GENESEE ST     ,SIMPLE ASSAULT,43.0411753,-76.0983617,116
-8477092.82544813,5318776.13938196,2023/05/11 04:00:00+00,215,215,100 ONONDAGA AVE    ,CRIMINAL MISCHIEF,43.04468428395821,-76.15084581700063,150
-8477266.650833,5321857.03540366,2023/05/11 04:00:00+00,2238,2238,700 N  ALVORD ST     ,SIMPLE ASSAULT,43.064806590032624,-76.15266495333898,115
-8476769.7206261,5319449.27024237,2023/05/12 04:00:00+00,757,757,300 E  WASHINGTON ST     ,POSSESSION/USE DRUG,43.0490299,-76.14863919999999,237
-8471858.51441823,5320115.25642467,2023/03/04 05:00:00+00,320,320,2500 ERIE BLVD E ,CRIMINAL MISCHIEF,43.053478371990415,-76.10403354272995,252
-8475122.68664354,5314787.95851495,2023/03/05 05:00:00+00,1712,1712,100 REMINGTON AVE    ,SIMPLE ASSAULT,43.018502106849866,-76.1332618484395,102
-8476893.06763128,5320467.80410322,2023/03/05 05:00:00+00,1851,1851,300 PROSPECT AVE    ,SIMPLE ASSAULT,43.055815274636025,-76.14922387049324,120
-8477235.85696755,5319378.90089236,2023/03/05 05:00:00+00,1621,1621,300 S  SALINA ST     ,OFFN AGAINST FAMILY,43.0486839314903,-76.15230444586024,111
-8471437.42907471,5320183.95919322,2023/03/07 05:00:00+00,744,744,2600 ERIE BLVD E ,CRIMINAL MISCHIEF,43.05397835903031,-76.10022774571262,106
-8477382.0499605,5318739.12727371,2023/03/07 05:00:00+00,1208,1208,100 DICKERSON ST     ,OFFN AGAINST FAMILY,43.044381251569725,-76.1536130362966,320
-8479688.18115588,5319493.85335513,2023/03/07 05:00:00+00,1419,1419,100 LAKEVIEW AVE    ,OFFN AGAINST FAMILY,43.04939682667557,-76.17425076874625,117
-8476634.19883086,5315496.74686541,2023/03/08 05:00:00+00,1914,1914,100 FERNWOOD AVE    ,POSSESSION/USE DANGEROUS WEAPONS,43.02316831184783,-76.14682289754927,132
-8479688.18115588,5319493.85335513,2023/03/09 05:00:00+00,333,333,100 LAKEVIEW AVE    ,SIMPLE ASSAULT,43.04939682667557,-76.17425076874625,117
-8476631.03001023,5321087.4006888,2023/03/09 05:00:00+00,210,1945,600 BUTTERNUT ST     ,CRIMINAL MISCHIEF,43.059839772404125,-76.14689103000919,220
-8476116.2035254,5313612.55726969,2023/03/10 05:00:00+00,2042,2042,100 BALLANTYNE RD     ,CRIMINAL MISCHIEF,43.010720655296716,-76.14224415464335,230
-8479688.18115588,5319493.85335513,2023/03/10 05:00:00+00,2347,2347,100 LAKEVIEW AVE    ,SIMPLE ASSAULT,43.04939682667557,-76.17425076874625,117
-8476353.32194447,5320604.68697808,2023/03/12 05:00:00+00,823,823,600 CATHERINE ST     ,SIMPLE ASSAULT,43.05666562893814,-76.14443457788907,109
-8471437.42907471,5320183.95919322,2023/03/12 05:00:00+00,425,425,2600 ERIE BLVD E ,CRIMINAL MISCHIEF,43.05397835903031,-76.10022774571262,106
-8476893.06763128,5320467.80410322,2023/03/12 05:00:00+00,2034,2034,300 PROSPECT AVE    ,SIMPLE ASSAULT,43.055815274636025,-76.14922387049324,120
-8475991.7643647,5318284.00310549,2023/06/13 04:00:00+00,615,630,100 FRISBIE CT     ,SIMPLE ASSAULT,43.041430213852415,-76.14093714943773,115
-8477382.0499605,5318739.12727371,2023/03/13 04:00:00+00,1938,1938,100 DICKERSON ST     ,SIMPLE ASSAULT,43.044381251569725,-76.1536130362966,320
-8476833.8406528,5322737.47807061,2023/06/13 04:00:00+00,1150,1155,700 FIRST NORTH ST     ,SIMPLE ASSAULT,43.07060205837967,-76.14875660148843,166
-8476201.57121462,5320346.27976116,2023/03/14 04:00:00+00,2034,2034,700 JAMES ST     ,SIMPLE ASSAULT,43.05503598616807,-76.14305352257017,294
-8476574.85596879,5315089.17469879,2023/06/14 04:00:00+00,810,915,200 W  BRIGHTON AVE    ,OFFN AGAINST FAMILY,43.02048958098615,-76.14625146679468,120
-8476893.06763128,5320467.80410322,2023/03/16 04:00:00+00,529,529,300 PROSPECT AVE    ,CRIMINAL MISCHIEF,43.055815274636025,-76.14922387049324,120
-8476201.57121462,5320346.27976116,2023/03/16 04:00:00+00,1207,1207,700 JAMES ST     ,POSSESSION/USE DANGEROUS WEAPONS,43.05503598616807,-76.14305352257017,294
-8476201.57121462,5320346.27976116,2023/03/16 04:00:00+00,1805,1805,700 JAMES ST     ,POSSESSION/USE DRUG,43.05503598616807,-76.14305352257017,294
-8478420.31037584,5317664.41434322,2023/06/14 04:00:00+00,1935,955,700 W  ONONDAGA ST     ,CRIMINAL MISCHIEF,43.03747891808915,-76.16282581681122,102
-8477443.98289316,5319085.96548592,2023/06/15 04:00:00+00,1324,1324,500 S  CLINTON ST     ,OFFN AGAINST FAMILY,43.04683069505183,-76.15427865023193,192
-8473390.39484409,5322934.97193411,2023/06/17 04:00:00+00,306,306,200 VILLAGE DR     ,CRIMINAL MISCHIEF,43.07206032619793,-76.11791165102832,100
-8476574.85596879,5315089.17469879,2023/06/17 04:00:00+00,958,958,200 W  BRIGHTON AVE    ,SIMPLE ASSAULT,43.02048958098615,-76.14625146679468,120
-8476673.14974333,5315616.18556417,2023/02/10 05:00:00+00,2312,2312,100 FAGE AVE    ,POSSESSION/USE DANGEROUS WEAPONS,43.023954681509466,-76.14718396571084,112
-8478888.18619564,5317945.41743032,2023/04/23 04:00:00+00,1928,1928,200 SABINE ST     ,ALL OTHER OFFENSES,43.03938619651163,-76.16708349636676,152
-8477231.08414438,5318644.53494196,2023/04/24 04:00:00+00,1612,1612,500 S  SALINA ST     ,OFFN AGAINST FAMILY,43.043874863607265,-76.15203563897467,254
-8471214.32143807,5318238.76625264,2023/04/26 04:00:00+00,857,930,3100 E  GENESEE ST     ,OFFN AGAINST FAMILY,43.0411753,-76.0983617,116
-8477382.0499605,5318739.12727371,2023/02/17 05:00:00+00,1403,1403,100 DICKERSON ST     ,OFFN AGAINST FAMILY,43.044381251569725,-76.1536130362966,320
-8469837.74461491,5318558.17053548,2023/06/06 04:00:00+00,1211,1211,100 GIFFORD ST     ,ALL OTHER OFFENSES,43.043327723958384,-76.085657892162,100
-8471214.32143807,5318238.76625264,2023/06/06 04:00:00+00,1120,1122,3100 E  GENESEE ST     ,SIMPLE ASSAULT,43.0411753,-76.0983617,116
-8477231.08414438,5318644.53494196,2023/06/06 04:00:00+00,1524,1524,500 S  SALINA ST     ,ALL OTHER OFFENSES,43.043874863607265,-76.15203563897467,254
-8477235.85696755,5319378.90089236,2023/02/18 05:00:00+00,920,920,300 S  SALINA ST     ,SIMPLE ASSAULT,43.0486839314903,-76.15230444586024,111
-8476631.03001023,5321087.4006888,2023/02/19 05:00:00+00,1611,1611,600 BUTTERNUT ST     ,SIMPLE ASSAULT,43.059839772404125,-76.14689103000919,220
-8479122.98293542,5317502.05369699,2023/02/19 05:00:00+00,1713,1713,200 FITCH ST     ,OFFN AGAINST FAMILY,43.03626820701083,-76.1692996593745,162
-8476574.85596879,5315089.17469879,2023/06/06 04:00:00+00,2237,2355,200 W  BRIGHTON AVE    ,POSSESSION/USE DANGEROUS WEAPONS,43.02048958098615,-76.14625146679468,120
-8471437.42907471,5320183.95919322,2023/02/20 05:00:00+00,1700,743,2600 ERIE BLVD E ,CRIMINAL MISCHIEF,43.05397835903031,-76.10022774571262,106
-8471437.42907471,5320183.95919322,2023/02/20 05:00:00+00,2130,700,2600 ERIE BLVD E ,CRIMINAL MISCHIEF,43.05397835903031,-76.10022774571262,106
